Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Mass	Annotation	Reviewed	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs
P45763	GSPL_ECOLI	Putative type II secretion system protein L (T2SS protein L) (Putative general secretion pathway protein L)	gspL yheK b3333 JW5705	Escherichia coli (strain K12)	387	gspL	44540	3.0	reviewed	protein secretion by the type II secretion system [GO:0015628]	Gram-negative-bacterium-type cell wall [GO:0009276]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]	Gram-negative-bacterium-type cell wall [GO:0009276]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]		GO:0005886; GO:0009276; GO:0015627; GO:0015628
P45766	YHDW_ECOLI	Putative amino-acid ABC transporter-binding protein YhdW	yhdW b3268 JW3236	Escherichia coli (strain K12)	341	yhdW	37021	3.0	reviewed	amino acid transport [GO:0006865]; peptide transport [GO:0015833]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; amino acid transport [GO:0006865]; peptide transport [GO:0015833]		GO:0006865; GO:0015833; GO:0016020; GO:0030288; GO:0055052
P45767	YHDX_ECOLI	Putative amino-acid ABC transporter permease protein YhdX	yhdX b3269 JW5544	Escherichia coli (strain K12)	393	yhdX	43261	3.0	reviewed	amino acid transport [GO:0006865]; peptide transport [GO:0015833]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; amino acid transport [GO:0006865]; peptide transport [GO:0015833]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0006865; GO:0015833; GO:0016020; GO:0022857; GO:0055052
P45768	YHDY_ECOLI	Inner membrane amino-acid ABC transporter permease protein YhdY	yhdY b3270 JW5545	Escherichia coli (strain K12)	367	yhdY	41484	3.0	reviewed	amino acid transport [GO:0006865]; peptide transport [GO:0015833]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; amino acid transport [GO:0006865]; peptide transport [GO:0015833]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0006865; GO:0015833; GO:0016020; GO:0022857; GO:0055052
P45769	YHDZ_ECOLI	Uncharacterized amino-acid ABC transporter ATP-binding protein YhdZ	yhdZ b3271 JW3239	Escherichia coli (strain K12)	252	yhdZ	28574	3.0	reviewed	peptide transport [GO:0015833]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptide transport [GO:0015833]	ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0015424; GO:0015833; GO:0016020; GO:0016887; GO:0043190; GO:0055052
P45800	IGAA_ECOLI	Putative membrane protein IgaA homolog	yrfF b3398 JW3361	Escherichia coli (strain K12)	711	yrfF	79490	3.0	reviewed	cellular response to cell envelope stress [GO:0036460]; regulation of phosphorelay signal transduction system [GO:0070297]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; phosphorelay response regulator activity [GO:0000156]; cellular response to cell envelope stress [GO:0036460]; regulation of phosphorelay signal transduction system [GO:0070297]	phosphorelay response regulator activity [GO:0000156]	GO:0000156; GO:0005886; GO:0036460; GO:0070297
P46068	DSDC_ECOLI	HTH-type transcriptional regulator DsdC (D-serine deaminase activator)	dsdC b2364 JW2361	Escherichia coli (strain K12)	311	dsdC	35332	3.0	reviewed	DNA-templated transcription [GO:0006351]		DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; DNA-templated transcription [GO:0006351]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0006351; GO:0043565
P46118	HEXR_ECOLI	HTH-type transcriptional regulator HexR (Hex regulon repressor)	hexR yebK b1853 JW1842	Escherichia coli (strain K12)	289	hexR	31976	3.0	reviewed	carbohydrate derivative metabolic process [GO:1901135]; DNA damage response [GO:0006974]; regulation of DNA-templated transcription [GO:0006355]		carbohydrate derivative binding [GO:0097367]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; carbohydrate derivative metabolic process [GO:1901135]; DNA damage response [GO:0006974]; regulation of DNA-templated transcription [GO:0006355]	carbohydrate derivative binding [GO:0097367]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0006355; GO:0006974; GO:0097367; GO:1901135
P46481	AAEB_ECOLI	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	aaeB yhcP b3240 JW3209	Escherichia coli (strain K12)	655	aaeB	73591	3.0	reviewed	carboxylic acid transport [GO:0046942]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; carboxylic acid transport [GO:0046942]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857; GO:0046942
P46482	AAEA_ECOLI	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	aaeA yhcQ b3241 JW3210	Escherichia coli (strain K12)	310	aaeA	34775	3.0	reviewed	carboxylic acid transport [GO:0046942]; transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; carboxylic acid transport [GO:0046942]; transmembrane transport [GO:0055085]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857; GO:0046942; GO:0055085
P46837	YHGF_ECOLI	Protein YhgF	yhgF b3407 JW3370	Escherichia coli (strain K12)	773	yhgF	85120	3.0	reviewed	nucleobase-containing compound metabolic process [GO:0006139]; response to ionizing radiation [GO:0010212]; translation [GO:0006412]	cytosol [GO:0005829]	cytosol [GO:0005829]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; nucleobase-containing compound metabolic process [GO:0006139]; response to ionizing radiation [GO:0010212]; translation [GO:0006412]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000049; GO:0003723; GO:0003729; GO:0003735; GO:0005829; GO:0006139; GO:0006412; GO:0010212
P46846	GNTX_ECOLI	DNA utilization protein YhgH (Protein GntX)	gntX yhgH b3413 JW5691	Escherichia coli (strain K12)	227	gntX	25726	3.0	reviewed	carbon utilization [GO:0015976]; DNA catabolic process [GO:0006308]		carbon utilization [GO:0015976]; DNA catabolic process [GO:0006308]		GO:0006308; GO:0015976
P46854	AAAT_ECOLI	L-amino acid N-acetyltransferase AaaT (L-methionine N-acetyltransferase) (EC 2.3.1.-) (L-phenylalanine N-acetyltransferase) (EC 2.3.1.53)	aaaT yhhY b3441 JW3405	Escherichia coli (strain K12)	162	aaaT	18794	3.0	reviewed			acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; L-methionine N-acyltransferase activity [GO:0103045]; L-phenylalanine N-acetyltransferase activity [GO:0050176]; N-acetyltransferase activity [GO:0008080]	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; L-methionine N-acyltransferase activity [GO:0103045]; L-phenylalanine N-acetyltransferase activity [GO:0050176]; N-acetyltransferase activity [GO:0008080]	GO:0008080; GO:0016747; GO:0050176; GO:0103045
P46859	GNTK_ECOLI	Thermoresistant gluconokinase (EC 2.7.1.12) (Gluconate kinase 2)	gntK b3437 JW3400	Escherichia coli (strain K12)	175	gntK	19543	3.0	reviewed	carbohydrate metabolic process [GO:0005975]		ATP binding [GO:0005524]; gluconokinase activity [GO:0046316]; protein homodimerization activity [GO:0042803]; carbohydrate metabolic process [GO:0005975]	ATP binding [GO:0005524]; gluconokinase activity [GO:0046316]; protein homodimerization activity [GO:0042803]	GO:0005524; GO:0005975; GO:0042803; GO:0046316
P46888	USPC_ECOLI	Universal stress protein C	uspC yecG b1895 JW1884	Escherichia coli (strain K12)	142	uspC	15633	3.0	reviewed	cellular response to starvation [GO:0009267]; cellular response to UV [GO:0034644]; response to salt stress [GO:0009651]; response to stress [GO:0006950]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]; cellular response to starvation [GO:0009267]; cellular response to UV [GO:0034644]; response to salt stress [GO:0009651]; response to stress [GO:0006950]	molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]	GO:0005737; GO:0006950; GO:0009267; GO:0009651; GO:0034644; GO:0042803; GO:0060090
P52043	SCPC_ECOLI	Propanoyl-CoA:succinate CoA transferase (EC 2.8.3.27) (Propionyl CoA:succinate CoA transferase)	scpC ygfH b2920 JW2887	Escherichia coli (strain K12)	492	scpC	53824	3.0	reviewed	acetate metabolic process [GO:0006083]; acetyl-CoA metabolic process [GO:0006084]		acetate CoA-transferase activity [GO:0008775]; acetyl-CoA hydrolase activity [GO:0003986]; propionyl-CoA:succinate CoA-transferase activity [GO:0043821]; acetate metabolic process [GO:0006083]; acetyl-CoA metabolic process [GO:0006084]	acetate CoA-transferase activity [GO:0008775]; acetyl-CoA hydrolase activity [GO:0003986]; propionyl-CoA:succinate CoA-transferase activity [GO:0043821]	GO:0003986; GO:0006083; GO:0006084; GO:0008775; GO:0043821
P52067	FSR_ECOLI	Fosmidomycin resistance protein	fsr b0479 JW0468	Escherichia coli (strain K12)	406	fsr	43306	3.0	reviewed	DNA damage response [GO:0006974]; response to antibiotic [GO:0046677]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; DNA damage response [GO:0006974]; response to antibiotic [GO:0046677]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0006974; GO:0022857; GO:0046677
P52076	QSEB_ECOLI	Transcriptional regulatory protein QseB	qseB ygiX b3025 JW2993	Escherichia coli (strain K12)	219	qseB	24678	3.0	reviewed	DNA-templated transcription [GO:0006351]; regulation of DNA-templated transcription [GO:0006355]; response to metal ion [GO:0010038]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]; DNA-templated transcription [GO:0006351]; regulation of DNA-templated transcription [GO:0006355]; response to metal ion [GO:0010038]	phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]	GO:0000156; GO:0000976; GO:0005829; GO:0006351; GO:0006355; GO:0010038; GO:0032993
P52086	COBC_ECOLI	Adenosylcobalamin/alpha-ribazole phosphatase (EC 3.1.3.73) (Adenosylcobalamin phosphatase) (Alpha-ribazole-5'-phosphate phosphatase)	cobC phpB b0638 JW0633	Escherichia coli (strain K12)	203	cobC	23308	3.0	reviewed	cobalamin biosynthetic process [GO:0009236]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; alpha-ribazole phosphatase activity [GO:0043755]; phosphatase activity [GO:0016791]; cobalamin biosynthetic process [GO:0009236]	alpha-ribazole phosphatase activity [GO:0043755]; phosphatase activity [GO:0016791]	GO:0005737; GO:0009236; GO:0016791; GO:0043755
P52102	YFHL_ECOLI	Ferredoxin YfhL (EcFd)	yfhL b2562 JW2546	Escherichia coli (strain K12)	86	yfhL	9791	3.0	reviewed	tRNA wobble base modification [GO:0002097]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; tRNA wobble base modification [GO:0002097]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]	GO:0002097; GO:0005737; GO:0046872; GO:0051539
P52108	RSTA_ECOLI	Transcriptional regulatory protein RstA	rstA urpT b1608 JW1600	Escherichia coli (strain K12)	239	rstA	26704	3.0	reviewed	regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]; regulation of DNA-templated transcription [GO:0006355]	phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]	GO:0000156; GO:0000976; GO:0005829; GO:0006355; GO:0032993
P52119	RATB_ECOLI	UPF0125 protein RatB	ratB pasI yfjF b2618 JW2599	Escherichia coli (strain K12)	96	ratB	10789	3.0	reviewed		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]		GO:0005886
P52127	ABPA_ECOLI	Anti-bacteriophage protein A	abpA yfjL b2628 JW2609	Escherichia coli (strain K12)	538	abpA	62007	3.0	reviewed	defense response to virus [GO:0051607]		nuclease activity [GO:0004518]; defense response to virus [GO:0051607]	nuclease activity [GO:0004518]	GO:0004518; GO:0051607
P52140	YFJY_ECOLI	UPF0758 protein YfjY	yfjY b2644 JW2625	Escherichia coli (strain K12)	160	yfjY	17964	3.0	reviewed	cellular response to heat [GO:0034605]; cellular response to reactive oxygen species [GO:0034614]; cellular stress response to acidic pH [GO:1990451]; proteolysis [GO:0006508]		metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; cellular response to heat [GO:0034605]; cellular response to reactive oxygen species [GO:0034614]; cellular stress response to acidic pH [GO:1990451]; proteolysis [GO:0006508]	metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]	GO:0006508; GO:0008237; GO:0034605; GO:0034614; GO:0046872; GO:1990451
P52143	YPJA_ECOLI	Probable autotransporter YpjA	ypjA b2647 JW5422	Escherichia coli (strain K12)	1526	ypjA	157500	3.0	reviewed	cell adhesion [GO:0007155]	cell outer membrane [GO:0009279]	cell outer membrane [GO:0009279]; cell adhesion [GO:0007155]		GO:0007155; GO:0009279
P52613	FLIJ_ECOLI	Flagellar FliJ protein	fliJ flaO flaS b1942 JW1926	Escherichia coli (strain K12)	147	fliJ	17307	3.0	reviewed	bacterial-type flagellum organization [GO:0044781]; bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935]; protein secretion by the type III secretion system [GO:0030254]	bacterial-type flagellum [GO:0009288]; bacterial-type flagellum secretion apparatus [GO:0120102]; plasma membrane [GO:0005886]; type III protein secretion system complex [GO:0030257]	bacterial-type flagellum [GO:0009288]; bacterial-type flagellum secretion apparatus [GO:0120102]; plasma membrane [GO:0005886]; type III protein secretion system complex [GO:0030257]; cytoskeletal motor activity [GO:0003774]; bacterial-type flagellum organization [GO:0044781]; bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935]; protein secretion by the type III secretion system [GO:0030254]	cytoskeletal motor activity [GO:0003774]	GO:0003774; GO:0005886; GO:0006935; GO:0009288; GO:0030254; GO:0030257; GO:0044781; GO:0071973; GO:0120102
P52614	FLIK_ECOLI	Flagellar hook-length control protein	fliK flaE flaR b1943 JW1927	Escherichia coli (strain K12)	375	fliK	39312	3.0	reviewed	bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973]	bacterial-type flagellum hook [GO:0009424]	bacterial-type flagellum hook [GO:0009424]; bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973]		GO:0009424; GO:0044780; GO:0071973
P52627	FLIZ_ECOLI	Regulator of sigma S factor FliZ	fliZ yedH b1921 JW1906	Escherichia coli (strain K12)	183	fliZ	21658	3.0	reviewed	DNA integration [GO:0015074]; regulation of bacterial-type flagellum-dependent cell motility [GO:1902021]		core promoter sequence-specific DNA binding [GO:0001046]; sigma factor antagonist activity [GO:0016989]; DNA integration [GO:0015074]; regulation of bacterial-type flagellum-dependent cell motility [GO:1902021]	core promoter sequence-specific DNA binding [GO:0001046]; sigma factor antagonist activity [GO:0016989]	GO:0001046; GO:0015074; GO:0016989; GO:1902021
P52647	NIFJ_ECOLI	Probable pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	ydbK b1378 JW1372	Escherichia coli (strain K12)	1174	ydbK	128824	3.0	reviewed	electron transport chain [GO:0022900]; response to oxidative stress [GO:0006979]		4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; pyruvate-flavodoxin oxidoreductase activity [GO:0043873]; electron transport chain [GO:0022900]; response to oxidative stress [GO:0006979]	4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; pyruvate-flavodoxin oxidoreductase activity [GO:0043873]	GO:0005506; GO:0006979; GO:0022900; GO:0043873; GO:0051539
P54746	MNGB_ECOLI	Mannosylglycerate hydrolase (EC 3.2.1.-) (2-O-(6-phospho-mannosyl)-D-glycerate hydrolase) (Alpha-mannosidase mngB)	mngB ybgG b0732 JW0721	Escherichia coli (strain K12)	877	mngB	100015	3.0	reviewed	mannose metabolic process [GO:0006013]; oligosaccharide catabolic process [GO:0009313]		alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; mannose metabolic process [GO:0006013]; oligosaccharide catabolic process [GO:0009313]	alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]	GO:0004559; GO:0006013; GO:0009313; GO:0030246; GO:0046872
P56258	WECF_ECOLI	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase (EC 2.4.1.325) (4-alpha-L-fucosyltransferase) (TDP-Fuc4NAc:lipid II Fuc4NAc transferase) (Fuc4NAc transferase)	wecF rffT yifM b4481 JW5596	Escherichia coli (strain K12)	359	wecF	40640	3.0	reviewed	enterobacterial common antigen biosynthetic process [GO:0009246]; fucosylation [GO:0036065]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; 4-acetamido-4,6-dideoxy-D-galactose transferase activity [GO:0102031]; fucosyltransferase activity [GO:0008417]; enterobacterial common antigen biosynthetic process [GO:0009246]; fucosylation [GO:0036065]	4-acetamido-4,6-dideoxy-D-galactose transferase activity [GO:0102031]; fucosyltransferase activity [GO:0008417]	GO:0005886; GO:0008417; GO:0009246; GO:0036065; GO:0102031
P56579	PTHC_ECOLI	PTS system glucitol/sorbitol-specific EIIC component (EIIC-Gut) (Glucitol/sorbitol permease IIC component)	srlA gutA sbl b2702 JW5429	Escherichia coli (strain K12)	187	srlA	20580	3.0	reviewed	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; sorbitol transmembrane transport [GO:0015795]	plasma membrane [GO:0005886]; transmembrane transporter complex [GO:1902495]	plasma membrane [GO:0005886]; transmembrane transporter complex [GO:1902495]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; sorbitol transmembrane transport [GO:0015795]		GO:0005886; GO:0009401; GO:0015795; GO:1902495
P58035	SGCB_ECOLI	Putative phosphotransferase enzyme IIB component SgcB (EC 2.7.1.-) (Putative PTS system EIIB component)	sgcB b4565 JW5967	Escherichia coli (strain K12)	92	sgcB	9803	3.0	reviewed	carbohydrate transport [GO:0008643]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; sorbitol transmembrane transport [GO:0015795]	cytoplasm [GO:0005737]; transmembrane transporter complex [GO:1902495]	cytoplasm [GO:0005737]; transmembrane transporter complex [GO:1902495]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; carbohydrate transport [GO:0008643]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; sorbitol transmembrane transport [GO:0015795]	kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]	GO:0005737; GO:0008643; GO:0008982; GO:0009401; GO:0015795; GO:0016301; GO:1902495
P60566	FIXA_ECOLI	Protein FixA	fixA yaaQ b0041 JW0040	Escherichia coli (strain K12)	256	fixA	27144	3.0	reviewed	carnitine catabolic process [GO:0042413]; carnitine metabolic process [GO:0009437]		electron transfer activity [GO:0009055]; carnitine catabolic process [GO:0042413]; carnitine metabolic process [GO:0009437]	electron transfer activity [GO:0009055]	GO:0009055; GO:0009437; GO:0042413
P60778	TSGA_ECOLI	Protein TsgA	tsgA gutS yhfC yhfH b3364 JW3327	Escherichia coli (strain K12)	393	tsgA	43166	3.0	reviewed	response to selenite ion [GO:0072714]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; response to selenite ion [GO:0072714]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857; GO:0072714
P62517	OPGH_ECOLI	Glucans biosynthesis glucosyltransferase H (EC 2.4.1.-)	mdoH opgH b1049 JW1037	Escherichia coli (strain K12)	847	mdoH	96937	3.0	reviewed	osmoregulated periplasmic glucan biosynthetic process [GO:1900727]; regulation of cell size [GO:0008361]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; hexosyltransferase activity [GO:0016758]; osmoregulated periplasmic glucan biosynthetic process [GO:1900727]; regulation of cell size [GO:0008361]	hexosyltransferase activity [GO:0016758]	GO:0005886; GO:0008361; GO:0016758; GO:1900727
P63204	GADE_ECOLI	Transcriptional regulator GadE	gadE yhiE yhiT b3512 JW3480	Escherichia coli (strain K12)	175	gadE	20599	3.0	reviewed	cellular stress response to acidic pH [GO:1990451]; regulation of DNA-templated transcription [GO:0006355]	transcription regulator complex [GO:0005667]	transcription regulator complex [GO:0005667]; DNA binding [GO:0003677]; cellular stress response to acidic pH [GO:1990451]; regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]	GO:0003677; GO:0005667; GO:0006355; GO:1990451
P63389	YHES_ECOLI	Probable ATP-binding protein YheS	yheS b3352 JW3315	Escherichia coli (strain K12)	637	yheS	71843	3.0	reviewed			ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016887
P63417	YHBS_ECOLI	Uncharacterized N-acetyltransferase YhbS (EC 2.3.1.-)	yhbS b3156 JW3125	Escherichia coli (strain K12)	167	yhbS	18534	3.0	reviewed		cytosol [GO:0005829]	cytosol [GO:0005829]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	GO:0005829; GO:0016747
P64426	DIGH_ECOLI	Glycosyl hydrolase DigH (EC 3.2.1.-) (Divisome-localized glycosyl hydrolase)	digH yddW b1491 JW1486	Escherichia coli (strain K12)	439	digH	49574	3.0	reviewed	cell wall organization [GO:0071555]	cell outer membrane [GO:0009279]	cell outer membrane [GO:0009279]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; cell wall organization [GO:0071555]	hydrolase activity, acting on glycosyl bonds [GO:0016798]	GO:0009279; GO:0016798; GO:0071555
P64448	YNBE_ECOLI	Outer membrane lipoprotein YnbE (Probable phospholipid transport lipoprotein YnbE)	ynbE b1382 JW1377	Escherichia coli (strain K12)	61	ynbE	6840	3.0	reviewed					
P64453	ORTT_ECOLI	Orphan toxin OrtT	ortT ydcX b1445 JW5232	Escherichia coli (strain K12)	57	ortT	6646	3.0	reviewed	autolysis [GO:0001896]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; autolysis [GO:0001896]		GO:0001896; GO:0005886
P64530	RCNR_ECOLI	Transcriptional repressor RcnR	rcnR yohL b2105 JW2092	Escherichia coli (strain K12)	90	rcnR	10134	3.0	reviewed	negative regulation of DNA-templated transcription [GO:0045892]	cytoplasm [GO:0005737]; protein-DNA complex [GO:0032993]	cytoplasm [GO:0005737]; protein-DNA complex [GO:0032993]; DNA-binding transcription repressor activity [GO:0001217]; metal ion binding [GO:0046872]; transcription cis-regulatory region binding [GO:0000976]; negative regulation of DNA-templated transcription [GO:0045892]	DNA-binding transcription repressor activity [GO:0001217]; metal ion binding [GO:0046872]; transcription cis-regulatory region binding [GO:0000976]	GO:0000976; GO:0001217; GO:0005737; GO:0032993; GO:0045892; GO:0046872
P64599	UBIT_ECOLI	Ubiquinone biosynthesis accessory factor UbiT	ubiT yhbT b3157 JW3126	Escherichia coli (strain K12)	174	ubiT	19672	3.0	reviewed	ubiquinone biosynthetic process [GO:0006744]	cytosol [GO:0005829]	cytosol [GO:0005829]; ubiquinone biosynthetic process [GO:0006744]		GO:0005829; GO:0006744
P64634	HOFN_ECOLI	DNA utilization protein HofN	hofN yrfC b3394 JW3357	Escherichia coli (strain K12)	179	hofN	20796	3.0	reviewed	carbon utilization [GO:0015976]; DNA catabolic process [GO:0006308]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; carbon utilization [GO:0015976]; DNA catabolic process [GO:0006308]		GO:0005886; GO:0006308; GO:0015976
P64638	FEOC_ECOLI	Probable [Fe-S]-dependent transcriptional repressor FeoC (Fe(2+) iron transport protein C)	feoC yhgG b3410 JW3373	Escherichia coli (strain K12)	78	feoC	8660	3.0	reviewed	iron import into cell [GO:0033212]		4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; iron ion binding [GO:0005506]; iron import into cell [GO:0033212]	4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; iron ion binding [GO:0005506]	GO:0003677; GO:0005506; GO:0033212; GO:0051539
P65367	YQCA_ECOLI	Flavodoxin YqcA	yqcA b2790 JW2761	Escherichia coli (strain K12)	149	yqcA	16274	3.0	reviewed			FMN binding [GO:0010181]	FMN binding [GO:0010181]	GO:0010181
P65556	YFCD_ECOLI	Uncharacterized Nudix hydrolase YfcD (EC 3.6.-.-)	yfcD b2299 JW2296	Escherichia coli (strain K12)	180	yfcD	20376	3.0	reviewed		cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; metal ion binding [GO:0046872]	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; metal ion binding [GO:0046872]	GO:0005737; GO:0005829; GO:0016818; GO:0046872
P67087	RSMI_ECOLI	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	rsmI yraL b3146 JW3115	Escherichia coli (strain K12)	286	rsmI	31348	3.0	reviewed	rRNA processing [GO:0006364]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; protein homodimerization activity [GO:0042803]; rRNA (cytosine-2'-O-)-methyltransferase activity [GO:0070677]; rRNA processing [GO:0006364]	protein homodimerization activity [GO:0042803]; rRNA (cytosine-2'-O-)-methyltransferase activity [GO:0070677]	GO:0005737; GO:0006364; GO:0042803; GO:0070677
